,Year of elections,Elected President,Presidents Party,Next years Dow Jones Fluctuation (%)
1,2012,Barack Obama,Democrat,26.5
2,2008, Barack Obama ,Democrat,18.82
5,1996, Bill Clinton ,Democrat,22.64
6,1992, Bill Clinton ,Democrat,13.72
10,1976, Jimmy Carter ,Democrat,-17.27
13,1964, Lyndon B. Johnson ,Democrat,10.88
14,1960, Lyndon B. Johnson ,Democrat,18.71
17,1948, Harry S. Truman ,Democrat,12.88
18,1944, Harry S. Truman ,Democrat,26.65
19,1940, Franklin Roosevelt ,Democrat,-15.38
20,1936, Franklin Roosevelt ,Democrat,-32.82
21,1932, Franklin Roosevelt ,Democrat,66.69
25,1916, Woodrow Wilson ,Democrat,-21.71
