,Year of elections,Elected President,Presidents Party,Next years Dow Jones Fluctuation (%)
0,2016,Donald Trump,Republican,25.08
3,2004, George W. Bush ,Republican,-0.61
4,2000, George W. Bush ,Republican,-7.1
7,1988, George Bush ,Republican,26.96
8,1984, Ronald Reagan ,Republican,27.66
9,1980, Ronald Reagan ,Republican,-9.23
11,1972, Gerald Ford ,Republican,-16.58
12,1968, Richard M. Nixon ,Republican,-15.19
15,1956, Dwight D. Eisenhower ,Republican,-12.77
16,1952, Dwight D. Eisenhower ,Republican,-3.77
22,1928, Herbert Hoover ,Republican,-17.17
23,1924, Calvin Coolidge ,Republican,25.37
24,1920, Calvin Coolidge ,Republican,12.3
