Year of elections,Elected President,Presidents Party,Next years Dow Jones Fluctuation (%)
2016,Donald Trump,Republican,25.08
2012,Barack Obama,Democrat,26.5
2008, Barack Obama , Democrat ,18.82
2004, George W. Bush , Republican ,-0.61
2000, George W. Bush , Republican ,-7.1
1996, Bill Clinton , Democrat ,22.64
1992, Bill Clinton , Democrat ,13.72
1988, George Bush , Republican ,26.96
1984, Ronald Reagan , Republican ,27.66
1980, Ronald Reagan , Republican ,-9.23
1976, Jimmy Carter , Democrat ,-17.27
1972, Gerald Ford , Republican ,-16.58
1968, Richard M. Nixon , Republican ,-15.19
1964, Lyndon B. Johnson , Democrat ,10.88
1960, Lyndon B. Johnson , Democrat ,18.71
1956, Dwight D. Eisenhower , Republican ,-12.77
1952, Dwight D. Eisenhower , Republican ,-3.77
1948, Harry S. Truman , Democrat ,12.88
1944, Harry S. Truman , Democrat ,26.65
1940, Franklin Roosevelt , Democrat ,-15.38
1936, Franklin Roosevelt , Democrat ,-32.82
1932, Franklin Roosevelt , Democrat ,66.69
1928, Herbert Hoover , Republican ,-17.17
1924, Calvin Coolidge , Republican ,25.37
1920, Calvin Coolidge , Republican ,12.3
1916, Woodrow Wilson , Democrat ,-21.71
